MDTime,PreClosePx,NumTrades,TotalVolumeTrade,TotalValueTrade,LastPx,OpenPx,HighPx,LowPx,DiffPx1,DiffPx2,MaxPx,MinPx,TotalBidQty,TotalOfferQty,WeightedAvgBidPx,WeightedAvgOfferPx,Buy1Price,Buy1OrderQty,Buy1NumOrders,Buy1NoOrders,Buy1OrderDetail,Sell1Price,Sell1OrderQty,Sell1NumOrders,Sell1NoOrders,Sell1OrderDetail,Buy2Price,Buy2OrderQty,Sell2Price,Sell2OrderQty,Buy3Price,Buy3OrderQty,Sell3Price,Sell3OrderQty,Buy4Price,Buy4OrderQty,Sell4Price,Sell4OrderQty,Buy5Price,Buy5OrderQty,Sell5Price,Sell5OrderQty,Buy6Price,Buy6OrderQty,Sell6Price,Sell6OrderQty,Buy7Price,Buy7OrderQty,Sell7Price,Sell7OrderQty,Buy8Price,Buy8OrderQty,Sell8Price,Sell8OrderQty,Buy9Price,Buy9OrderQty,Sell9Price,Sell9OrderQty,Buy10Price,Buy10OrderQty,Sell10Price,Sell10OrderQty,PreVolume
93003000,9.91,327,873660.0,8671075.0,9.93,9.93,9.94,9.9,0.02,0.0,10.9,8.92,2018840.0,5291828.0,9.7,10.31,9.92,17200.0,1,1,,9.93,23300.0,8,8,,9.91,56700.0,9.94,132700.0,9.9,56040.0,9.95,151400.0,9.89,8400.0,9.96,65900.0,9.88,23400.0,9.97,223800.0,9.87,51600.0,9.98,123000.0,9.86,68000.0,9.99,279800.0,9.85,32400.0,10.0,104500.0,9.84,500.0,10.01,41100.0,9.83,11900.0,10.02,29400.0,567980.0
93006000,9.91,366,1015560.0,10080383.0,9.94,9.93,9.94,9.9,0.03,0.01,10.9,8.92,2048840.0,5307228.0,9.69,10.31,9.92,17600.0,2,2,,9.94,52200.0,20,20,,9.91,38600.0,9.95,165800.0,9.9,69540.0,9.96,65900.0,9.89,8400.0,9.97,226300.0,9.88,31500.0,9.98,145000.0,9.87,56600.0,9.99,286800.0,9.86,69700.0,10.0,112500.0,9.85,32400.0,10.01,41100.0,9.84,500.0,10.02,40500.0,9.83,11900.0,10.03,98800.0,141900.0
93009000,9.91,379,1045860.0,10381467.0,9.94,9.93,9.94,9.9,0.03,0.01,10.9,8.92,2075840.0,5306828.0,9.7,10.31,9.92,15500.0,3,3,,9.94,29200.0,14,14,,9.91,41000.0,9.95,165800.0,9.9,92940.0,9.96,65900.0,9.89,8400.0,9.97,226300.0,9.88,23400.0,9.98,145000.0,9.87,56600.0,9.99,286800.0,9.86,69700.0,10.0,118600.0,9.85,33400.0,10.01,41200.0,9.84,500.0,10.02,41500.0,9.83,11900.0,10.03,103800.0,30300.0
93012000,9.91,383,1051460.0,10437098.0,9.94,9.93,9.94,9.9,0.03,0.0,10.9,8.92,2081140.0,5425928.0,9.7,10.3,9.92,15500.0,3,3,,9.94,145200.0,16,16,,9.91,41000.0,9.95,165800.0,9.9,92940.0,9.96,65900.0,9.89,8400.0,9.97,226300.0,9.88,23400.0,9.98,145000.0,9.87,56600.0,9.99,286800.0,9.86,69700.0,10.0,119200.0,9.85,33400.0,10.01,41200.0,9.84,500.0,10.02,41500.0,9.83,11900.0,10.03,103800.0,5600.0
93015000,9.91,389,1053860.0,10460943.0,9.93,9.93,9.94,9.9,0.02,-0.01,10.9,8.92,2070840.0,5438328.0,9.7,10.3,9.92,15500.0,3,3,,9.93,8300.0,1,1,,9.91,43500.0,9.94,146900.0,9.9,92940.0,9.95,165800.0,9.89,9400.0,9.96,65900.0,9.88,23400.0,9.97,226300.0,9.87,56600.0,9.98,147100.0,9.86,69700.0,9.99,286800.0,9.85,33400.0,10.0,119200.0,9.84,500.0,10.01,41200.0,9.83,11900.0,10.02,41500.0,2400.0
93018000,9.91,389,1053860.0,10460943.0,9.93,9.93,9.94,9.9,0.02,-0.01,10.9,8.92,2070840.0,5438328.0,9.7,10.3,9.92,15500.0,3,3,,9.93,8300.0,1,1,,9.91,43500.0,9.94,146900.0,9.9,92940.0,9.95,165800.0,9.89,9400.0,9.96,65900.0,9.88,23400.0,9.97,226300.0,9.87,56600.0,9.98,147100.0,9.86,69700.0,9.99,286800.0,9.85,33400.0,10.0,119200.0,9.84,500.0,10.01,41200.0,9.83,11900.0,10.02,41500.0,2400.0
93021000,9.91,389,1053860.0,10460943.0,9.93,9.93,9.94,9.9,0.02,-0.01,10.9,8.92,2070840.0,5438328.0,9.7,10.3,9.92,15500.0,3,3,,9.93,8300.0,1,1,,9.91,43500.0,9.94,146900.0,9.9,92940.0,9.95,165800.0,9.89,9400.0,9.96,65900.0,9.88,23400.0,9.97,226300.0,9.87,56600.0,9.98,147100.0,9.86,69700.0,9.99,286800.0,9.85,33400.0,10.0,119200.0,9.84,500.0,10.01,41200.0,9.83,11900.0,10.02,41500.0,2400.0
93024000,9.91,419,1116360.0,11081371.0,9.91,9.93,9.94,9.9,0.0,0.0,10.9,8.92,2002140.0,5533428.0,9.7,10.3,9.91,2200.0,1,1,,9.93,17700.0,8,8,,9.9,77340.0,9.94,235500.0,9.89,9400.0,9.95,115800.0,9.88,23400.0,9.96,71400.0,9.87,56600.0,9.97,224800.0,9.86,69700.0,9.98,147100.0,9.85,33400.0,9.99,286800.0,9.84,500.0,10.0,119700.0,9.83,11900.0,10.01,42500.0,9.82,92100.0,10.02,41500.0,62500.0
93027000,9.91,424,1121260.0,11130007.0,9.93,9.93,9.94,9.9,0.02,0.01,10.9,8.92,2057640.0,5547228.0,9.7,10.3,9.9,95340.0,24,24,,9.93,31300.0,14,14,,9.89,13400.0,9.94,234900.0,9.88,33500.0,9.95,115800.0,9.87,80800.0,9.96,71400.0,9.86,69700.0,9.97,224800.0,9.85,33800.0,9.98,147100.0,9.84,1500.0,9.99,286800.0,9.83,11900.0,10.0,119700.0,9.82,92100.0,10.01,42500.0,9.81,87900.0,10.02,41500.0,4900.0
93030000,9.91,430,1127060.0,11187601.0,9.93,9.93,9.94,9.9,0.02,0.0,10.9,8.92,2033440.0,5598128.0,9.7,10.29,9.9,95340.0,24,24,,9.93,85500.0,16,16,,9.89,13400.0,9.94,229100.0,9.88,33500.0,9.95,115800.0,9.87,56600.0,9.96,71400.0,9.86,69700.0,9.97,224800.0,9.85,33800.0,9.98,147100.0,9.84,1500.0,9.99,286800.0,9.83,11900.0,10.0,119700.0,9.82,92100.0,10.01,42500.0,9.81,87900.0,10.02,41500.0,5800.0
